review,sentiment
"I was pleasantly surprised by the depth of story and character development. Fulci was a master at creating horrific atmosphere using inventive camera work, vivid cinematography, and yes - wonderfully explicit gore.This film is no exception, however, compared to his later films (The Beyond, Zombie 2, City of the Living Dead, House by the Cemetery, etc.) the characters here are extremely well developed and the emphasis shies away from the supernatural and is more on the suspense created by a classic who-dunnit amongst the lush hills of Italy. The scenery is at moments reminiscent of cherished folklore and then immediately contrasted by mud and blood-soaked terror shrouded by crumbling ruins. The gore in this film is not quite as prevalent and seems restrained compared to Fulci's later films however, splatter and giallo fans will most likely be satiated by a few close-ups of oozing wounds and the last 5 minutes of the film.Overall a fantastic and mature film from one of our great Italian horror directors.",1
"This film has gone in and out of fashion more often than the miniskirt. A triumph in the post-war period, it was virtually forgotten by the 1970s except by students of cinema. Recently, it has begun to get recognition as perhaps the most even-handed representation of soldiers' integration into post-war life ever made (and that most definitely includes films such as ""The Deer Hunter."") I like it, but my overall evaluation is somewhere between those extremes.The tale is a simple one. Three very different servicemen who have mustered out after World War II (The Big One!) fly home to their Midwest town and try to resume, or create, civilian lives. One has a disability, one has a cushy job waiting for him, and the other has nothing to go on but determination.There are some good but unfortunately uneven performances. Fredric March won the Best Actor Oscar for playing an old Sergeant who returns to his job at the local bank. Personally, I think Jimmy Stewart deserved it for ""It's a Wonderful Life,"" which also deserved the Best Picture Award, but clearly this film touched a nerve with the post-war audience. As I said, it was fashionable. March has one fantastic scene, a humorous speech that brought to mind somewhat similar incident involving real WWII hero Pappy Boyington, and otherwise is solid but unspectacular.I am going against the grain here, but I thought that Myrna Loy, who played March's wife, was justly ignored by the Academy. I detected barely a hint of warmth from her. In fact, I kept thinking she was going to slap Frederic March for annoying her. She practically grimaced every time they were together. Something was definitely missing there, in her forced smiles and her air of tolerance rather than joyfulness. I think all this nonsense about her being ""the perfect wife"" is correct only if you think a passionless 1950s homemaker is your ideal. You may disagree with that, but the Academy voters apparently did not. She is a major problem with this film, terribly miscast.Dana Andrews as a former soda jerk who became a war hero, then winds up behind the counter again, is amazing. He is saddled with a wife who evidently married him right before he left for the war for all the wrong reasons, and his future looks bleak. But then he chances upon March's daughter Peggy (Teresa Wright, in a fantastic turn), and fireworks explode. Both are great, but then comes that unevenness again that pervades this film. Some moments of pure soap opera intrude, punctuated by the all-time classic line, ""I'm going to bust that marriage up!"" The romance is uplifting and does mirror a common condition after the war, that of returning servicemen finding love upon their return.Speaking of uplifting, now we come to Harold Russell. He has a naturalistic quality to his acting, or is it non-acting, that rings just as true today as it no doubt did then. Taking a no-nonsense approach to his situation, he is an inspiration. His best scene, one of the best in all cinema, is when he brings the girl who likes him up to his bedroom to show her the truth of his condition. ""I'm lucky, I still have my elbows unlike some of the boys."" Truly great stuff.The film has some moments that soar. It also has some moments that belong in the afternoon soaps. Take the good with the bad and see this one for the high points.",1
"I bought the DVD of this movie because I am a fan of William Devane and I was really disappointed about ""A Christmas Visitor"". The story of the movie is so boring and slow in the development that you just want to turn off your TV or DVD player after about the half of it. The dialogues are really bad and belong to a daily soap opera but not in a TV movie. William Devane was alright in his part and he was acting quite good, but he did so much better in other movies and projects. Meredith Baxter was horrible and couldn't really bring the warm hearted mother to the viewers. Instead she was playing very cool and wasn't better than a middle-class actress. I absolutely cannot recommend this movie. Spare your time and your money for this one.",0
"I would hate to have anyone watch this ""inspired by a true story"" movie and draw any conclusions about the true event. Few things they did get right were overshadowed by the things that were just not true. Ed Gein never dragged anyone behind a car, never met up with anyone at the graveyard and killed them, no proof he returned body parts to the graveyard. The things he did were awful enough, why try to make it worse? This movie ranks among my 10 worst wastes of eye strain. ""In the Light of the Moon"" is a much better film on the subject, it is more factual and the acting is superior in contrast to this one.",0
"no redeeming qualities can possibly be expressed. i wish i could get my time back. nice skull face broad really smiles, bright at the camera when the disease has already wreaked enough havoc on the ill informed script. i was ((spoiler)) happy to see all the characters dead or severely incapacitated by the end, especially the party poopers that drink the tainted juice on their way to the alleged sunset. Eli Roth does shine for moments of maybe ten, putting forth the theory on how well weed smokes in the woods when others really fiend on top of beer consumption. overall, i found most of it pointless, though not without gratuitous violence and not enough nudity, happy to witness the demise of cast, in a way though, wishing that journey never happened (probably should've been getting laid instead of watching TBS late night, ugh).",0
"This is possibly the best short crime drama I've ever seen. The acting is superb especially Amanda Burton who's character goes from scary to sweet to disturbing to sad and then some...She does an amazing job balancing Rachels/Carlas feelings and acting out the pain of someone who's lost a child, its so believable that it feels more like a real life story then a drama. The other actors are of course great too which they usually are in British TV/Film. The ending,which I'm not going to give away,is fantastic mainly because you don't really get one... (you'll get what I mean after you've seen it) This is well worth buying and seeing over and over again and if you're not touched by this you're one cold hearted person.",1
"I was a Marine at Camp Pendleton when the D.I. came out (1st Marine Division, 11th Marine Regiment, 3rd Battalion, I-Battery). I still remember standing in line with a bunch of other Marines to see the movie at the ""Star"" theater in Oceanside, California.We did not remotely expect the movie to portray everything we experienced in boot camp but we were all pleasantly surprised at how well done the movie was. The idea of using real Marines in the movie was a great idea (I believe they were all real Drill Instructors too). As good an actor as Jack Webb was, he just couldn't ""call cadence"" like a real Marine Drill Instructor.All of us got a laugh when the ""problem"" recruit's mother came to boot camp to talk to the Captain. Never in a million years would this have happened, but that's Hollywood, and we didn't let that episode keep us from enjoying the movie.I went through boot camp at MCRD in San Diego during the summer of 1956, and at that time there was virtually no limits as to what the D.I.'s could do to you. The ""Ribbon Creek"" event at Parris Island had not yet affected boot camp, at least not at MCRD - San Diego.I agree with what a lot of the other reviewers have commented on concerning Sgt. Moore's ""stiffness"" around his girl friend. I believe this was just Webb's acting style, and although they could have deleted this part of the movie, it didn't really hurt the production that much.One minor note, the character (uncredited) of ""Pvt. Rodriguez"" was played by one of my Drill Instructors, Sgt. Peter J. O'Neill. Sgt. O'Neill used to tell us that some day he wanted to be an actor. We secretly laughed at this, but he surprised us all. He was a great Drill Instructor, and I thought he did well in his bit part. Also, he really did enjoy throwing knives. He often demonstrated his skill to us that summer in boot camp. I have often wondered if he is still alive.",1
"A remarkable film, bringing to the surface all sorts of feelings I had when I was much, much younger. I loved it, and the Elton John music. I remember seeing in in the movies when I was a kid, and for some reason (limited release?) I've never known anyone else who saw this film when it was released.The dreams it inspired in me from decades ago have never left me, and seeing the film again recently brought it all rushing back, I confess, however, that my kids (in their 20's) have not experienced a similar emotional rush. A generational thing?Why is it not on DVD?",1
"This is one to watch a few times. The excellent writing shows they had to have lived this story or know someone whom did because they nailed it. Freebird made me relive and laugh at my misspent youth. The title was a Great choice. Great film, setting, story, soundtrack and characters. It's a biker flick but would be a shame to pigeon hole it that way. Funny to the bone, kinda like Trailer Park Boys in the U.K. If you've never seen TPB, make a point to if you like this film. You will thank me. I hope to see more of these characters in other films. Sequel? Could be done. There's a whole lot more of the world I would like to see through their eyes.",1
"One of the most significant quotes from the entire film is pronounced halfway through by the protagonist, the mafia middle-man Titta Di Girolamo, a physically non-descript, middle-aged man originally from Salerno in Southern Italy. When we're introduced to him at the start of the film, he's been living a non-life in an elegant but sterile hotel in the Italian-speaking Canton of Switzerland for the last ten years, conducting a business we are only gradually introduced to. While this pivotal yet apparently unremarkable scene takes place employees of the the Swiss bank who normally count Di Girolamo's cash tell him that 10,000 dollars are missing from his usual suitcase full of tightly stacked banknotes. At the news, he quietly but icily threatens his coaxing bank manager of wanting to close down his account. Meanwhile he tells us, the spectators, that when you bluff, you have to bluff right through to the end without fear of being caught out or appearing ridiculous. He says: you can't bluff for a while and then halfway through, tell the truth. Having eventually done this - bluffed only halfway through and told the truth, and having accepted the consequences of life and ultimately, love - is exactly the reason behind the beginning of Titta Di Girolamo's troubles. This initially unsympathetic character, a scowling, taciturn, curt man on the verge of 50, a man who won't even reply in kind to chambermaids and waitresses who say hello and goodbye, becomes at one point someone the spectator cares deeply about. At one point in his non-life, Titta decides to feel concern about appearing ""ridiculous"". The first half of the film may be described as ""slow"" by some. It does indeed reveal Di Girolamo's days and nights in that hotel at an oddly disjoined, deliberate pace, revealing seemingly mundane and irrelevant details. However, scenes that may have seemed unnecessary reveal just how essential they are as this masterfully constructed and innovative film unfolds before your eyes. The existence of Titta Di Girolamo - the man with no imagination, identity or life, the unsympathetic character you unexpectedly end up loving and feeling for when you least thought you would - is also conveyed with elegantly edited sequences and very interesting use of music (one theme by the Scottish band Boards of Canada especially stood out). Never was the contrast between the way Hollywood and Italy treat mobsters more at odds than since the release of films such as Le Conseguenze dell'Amore or L'Imbalsamatore. Another interesting element was the way in which the film made use of the protagonist's insomnia. Not unlike The Machinist (and in a far more explicit way, the Al Pacino film Insomnia), Le Conseguenze dell'Amore uses this condition to symbolise a deeper emotional malaise that's been rammed so deep into the obscurity of the unconscious, it's almost impossible to pin-point its cause (if indeed there is one). The young and sympathetic hotel waitress Sofia (played by Olivia Magnani, grand-daughter of the legendary Anna) and the memory of Titta's best friend, a man whom he hasn't seen in 20 years, unexpectedly provide a tiny window onto life that Titta eventually (though tentatively at first) accepts to look through again. Though it's never explicitly spelt out, the spectator KNOWS that to a man like Titta, accepting The Consequences of Love will have unimaginable consequences. A film without a single scene of sex or violence, a film that unfolds in its own time and concedes nothing to the spectator's expectations, Le Conseguenze dell'Amore is a fine representative of that small, quiet, discreet Renaissance that has been taking place in Italian cinema since the decline of Cinecittà during the second half of the 70s. The world is waiting for Italy to produce more Il Postino-like fare, more La Vita è Bella-style films... neglecting to explore fine creations like Le Conseguenze dell'Amore, L'Imbalsamatore and others. Your loss, world.",1
"Salvage: 4 out of 10. Groundhog Day meets a Christian Coalition horror film. Okay maybe it's not that bad. But it is close.Claire (played by Alicia Silverstonesque Lauren Currie Lewis) is stalked and possibly killed by a serial killer (Chris Ferry who is quite menacing and brutal). I say possibly because she wakes up and it was all a dream.. Or was it? (Cue music)The basic problem with the film is that these fifteen minutes of plot (Done quite well the first time) is repeated over and over again. And since Claire wakes up every time and every scene is clearly a dream or alternate reality I just stopped caring what happened to Claire and started wondering what lame twist at the end was going to pull this together.I was rooting for a séance (which honestly would have made more sense) but instead got one of those too obvious by half surprise endings (Think the Village or Below) Yup the film collapses faster than Donnie Darko's directors cut. All the great twist endings in horror movies The Sixth Sense, the original Invasion of the Body Snatchers, Happy Birthday to Me worked because the audience wasn't expecting a left field explanation. (Heck even the canoe ending in the original Friday the 13th was worth a jolt)Salvage on the other hand screams twist ending with every scene change. Other nagging faults is the one note piano soundtrack (Though the featured songs were decent) the obvious time padding (Claire doing the dishes, Claire's mother's subplots), the way Claire says ""hello is anyone there"" every time she thinks there is a serial killer around.Also some of the secondary acting roles (In particular Claire's mother played by Maureen Olander who resembles a Mary Kay zombie) shows the first time actor low budget roots.Both too clever by half and not nearly clever enough Salvage keeps your interest if only to see how they are going to fix this mess. Problem is they really don't.",0
"This film has some flaws, and most of those flaws are a lack of anything happening. Possibly the greatest film to show the direness within Fly-Over Country, ""Rolling Kansas"" is a film in which nothing happens and you don't care about anybody. Like life, it starts, it moves, and then it ends. A few attempts at humor are made, but everything falls very flat. The occasional cameo just reminds the viewer that they could be wasting their life doing something besides watching this movie and the one rock song they bought and used at every single instance.Do yourself a favor and go see a good movie. This is free and repeatedly frequently on Comedy Central because nobody went to see it, nobody wants to see it, and it's marginally better than dead air. Not to damn with faint praise, but the movie's one rock song is worth listening to. Too bad the movie isn't worth watching.",0
"""Committed"", as in Heather Graham being COMMITTED to saving her husband/marriage, and then being COMMITTED to a psychiatric ward in failure to do so: what a clever, clever use of words.One of those meaningless wanna-be philosophical films in which narration is a series of oh-so wise observations that verge on poetry (90s chique club-poetry, better known as ""chit-chique poetry""). Oh, it's so je-ne-sais-quoi... Written/directed (or ""auteured"") by a woman (Lisa Krueger, whoever the hell you are), this is a pointless, lethargically directed road-movie full of New Age spiritualistic nonsense and characters that are meant to be interesting but are merely seen-before or just plain dull. The Latinos in this movie, as part of the poor urban minority, are typically glorified in all their mysticism-obsessed primitivism as a ""spiritually superior"" people, which is the ""highlight"" of this film's political correctness.The whole affair is lifeless, and ceases to be so only when occasional good cast members appear (Kay Place, Baker, Wilson). On the other hand we have Casey Affleck, who is one of the very best examples of why nepotism is on par with first-degree murder as a crime. I have rarely seen a more apathetic ""actor""; a skinny, ugly moron who goes through his lines in a sleepy manner, almost as if he were uttering them in a half-awake quasi-dream, plus that weak voice, one of the weakest male voices I've heard in my life. (He must have gone to the Tobey Maguire Lethargy School Of Acting.) To cast this idiot in ANYTHING speaks volumes about ANY movie, i.e. about ANY director or producer. Hence, Lisa Krueger is a talentless waste of space. We've also got that moron who had the lead role in the MST3K-spoofed ""Werewolf""; I think his name is Goran Vishnjic, but I'm not sure. Check out his ridiculous accent and the dumb speech.",0
"I saw this video at a friends house, and it was the lamest thing i have seen ever. i lost a lot of the little respect i had for NIN. very boring, and the music is as equally interesting. dont waste your time unless you are a hardcore NIN ""fan""",0
"Bela Lugosi is a real enigma. In the early 1930s, he was on top of the world after appearing in Dracula. Yet, again and again, he made lousy decisions regarding his career. Perhaps he had a bad agent, perhaps his drinking and drug use had a part in it or maybe he was just crazy. Regardless, he ruined his reputation by appearing in pretty much any film--ranging from excellent horror films (such as THE RAVEN) to big-budget flicks (like NINOTCHKA) to grade-Z flicks for the cheapest and shoddiest of studios. Interestingly enough, although he agreed to do this terrible film, he actually turned down the role that later went to Boris Karloff in FRANKENSTEIN! As for this movie, it is a very silly an horridly produced WWII propaganda film that featured a dumb plot and wretched editing. Lugosi spends much of the movie murdering saboteurs--not a bad thing at all. But at the end, we find out that he is himself a Nazi plastic surgeon and all the American-looking men he killed were actually Japanese!!!! The funniest part of this is during a flashback. You see Lugosi talking to a group of Japanese men before he changes them to American-like men. When the camera scans them, the men are clearly Asian. But, on all the other non-close-up shots, they are all VERY Western looking--many with bald heads!! They looked absolutely NOTHING like Japanese men. I suspect the plot must have undergone a re-write and this might account for the obvious mistake. Or, it could just be shoddy production values and editing. In fact, early in the film, they show a street scene in the city and all the cars (circa 1942) are old Model T Fords--obviously from stock footage!!! The bottom line is that the film is bad but also very dull. Unlike PLAN 9 FROM OUTER SPACE, it's hard to laugh at the ineptitude--just be put to sleep by it.",0
"This film is based on the novel by John Fante. Could someone please tell me why? I see absolutely no reason why this fine book should be adapted in this way. If you want to make a romantic melodramatic Hollywood production with Colin Farell and Selma Hayek, then how could you possibly make a connection to Ask The Dust (the novel)? -And if you wanted to make this story into a film, then why would you want to make it into a romantic melodramatic Hollywood production with Colin Farell and Selma Hayek? I don't get it.The adaptation of the story is poorly made, and if you have read the book and liked it, I'm almost sure you won't like what Towne did with it. In the beginning of the film you'll maybe find the casting odd, the acting bad and the cinematography just a bit overdone. But you hope for the best. I really hoped a lot during this film. I actually wanted it to be good. But it only gets worse, and it is as simple as that: Whether you read Fantes novel or not, this is not a good film. Just another romantic melodramatic Hollywood production combined with bad acting, lack of structure and - of course - plenty of shots of Colin Farells naked butt.I could complain a lot more about this film, but why waste my time. I've seen it. Alright. I had to see it, because I like the book so much and was curious. And I'm very disappointed.1/10 is for Colin's sweet little mustache in the end of the film. So sweet... Had he worn it the whole time through, I'd given it 2/10.",0
"I tried restarting the movie twice. I put it in three machines to see what was wrong. Did Steven Seagal's voice change? Did he die during filming and the studio have to dub the sound with someone who doesn't even resemble him? Or was the sound on the DVD destroyed? After about 10 minutes, you finally hear the actor's real voice. Though throughout most of the film, it sounds like the audio was recorded in a bathroom.I would be ashamed to donate a copy of this movie to Goodwill, if I owned a copy. I rented it, but I will never do that again. I will check this database before renting any more of his movies, all of which were (more or less) good movies. You usually knew what you were getting when you watched a Steven Seagal movie. I guess that is no more.",0
"This movie makes a promising start and then gets very confused and muddled. Kamal Hasan has made a lot of effort in getting the period look right, pity he did not spend more time on the plot. Most of the small characters in the movie show up for no particular reason.Overall very disappointing, I would recommend avoiding this movie.",0
